Line list produced by PGOPHER 10.1.182 04 Dec 2018 20:59  32 bit (fpc 3.3.1 i386-Darwin),10001182
Molecule,Upper Manifold,J',Sym',#',Lower Manifold,"J""","Sym""","#""",Position,Intensity,Eupper,Elower,Spol,A,Width,Branch,Label
AlH_Plus,Ground,5.5,e,2,Ground,4.5,e,2,61.61745716,1.29347492415405E-6,1805.21059708,1743.59313992,0.148824018181818,0.00272977302616623,0,rR1(4.5),Ground v=1_X 5.5  5 F1e - Ground v=1_X 4.5  4 F1e
AlH_Plus,Ground,43.5,e,1,Ground,44.5,e,1,61.7617537674178,2.17240829875243E-6,8832.67771285446,8770.91595908704,2.24431146067416,0.00565304908442238,0,pP1(44.5),Ground v=0_X 43.5 43 F1e - Ground v=0_X 44.5 44 F1e
AlH_Plus,Ground,42.5,f,1,Ground,43.5,f,1,61.8184037674237,2.17383288087851E-6,8830.21343785446,8768.39503408704,2.19386461302682,0.00567006679175687,0,pP2(43.5),Ground v=0_X 42.5 43 F2f - Ground v=0_X 43.5 44 F2f
AlH_Plus,Ground,4.5,f,1,Ground,4.5,e,1,65.12040216023,4.67994816714308E-8,196.31542015479,131.19501799456,0.00509498316498316,0.000132378488403214,0,rQ21(4.5),Ground v=0_X 4.5  5 F2f - Ground v=0_X 4.5  4 F1e
AlH_Plus,Ground,4.5,f,1,Ground,3.5,f,1,65.37532716023,2.58404774546542E-6,196.31542015479,130.94009299456,0.224179259259259,0.00589332644134729,0,rR2(3.5),Ground v=0_X 4.5  5 F2f - Ground v=0_X 3.5  4 F2f
AlH_Plus,Ground,5.5,e,1,Ground,4.5,e,1,65.43197716023,2.53926351450133E-6,196.62699515479,131.19501799456,0.275129090909091,0.00604294776735219,0,rR1(4.5),Ground v=0_X 5.5  5 F1e - Ground v=0_X 4.5  4 F1e
AlH_Plus,Ground,5.5,f,2,Ground,4.5,f,2,73.7493680723201,1.54814824678743E-6,1878.68304015232,1804.93367208,0.148824018181818,0.00468047718633424,0,rR2(4.5),Ground v=1_X 5.5  6 F2f - Ground v=1_X 4.5  5 F2f
AlH_Plus,Ground,6.5,e,2,Ground,5.5,e,2,73.79971807232,1.52934358995549E-6,1879.01031515232,1805.21059708,0.176299221538462,0.00476222499074511,0,rR1(5.5),Ground v=1_X 6.5  6 F1e - Ground v=1_X 5.5  5 F1e
AlH_Plus,Ground,5.5,f,1,Ground,4.5,f,1,78.3352672036644,3.04001032128186E-6,274.650687358454,196.31542015479,0.275129090909091,0.0103693300275892,0,rR2(4.5),Ground v=0_X 5.5  6 F2f - Ground v=0_X 4.5  5 F2f
AlH_Plus,Ground,6.5,e,1,Ground,5.5,e,1,78.3919172036644,3.0032060999759E-6,275.018912358454,196.62699515479,0.325922153846154,0.0105517172829506,0,rR1(5.5),Ground v=0_X 6.5  6 F1e - Ground v=0_X 5.5  5 F1e
AlH_Plus,Ground,6.5,f,2,Ground,5.5,f,2,85.8564774899201,1.77919451367951E-6,1964.53951764224,1878.68304015232,0.176299221538462,0.00749833778252905,0,rR2(5.5),Ground v=1_X 6.5  7 F2f - Ground v=1_X 5.5  6 F2f
AlH_Plus,Ground,7.5,e,2,Ground,6.5,e,2,85.9068274899198,1.76328326451933E-6,1964.91714264224,1879.01031515232,0.203723544888889,0.00759499911052436,0,rR1(6.5),Ground v=1_X 7.5  7 F1e - Ground v=1_X 6.5  6 F1e
AlH_Plus,Ground,6.5,f,1,Ground,5.5,f,1,91.2292441721575,3.49500602061059E-6,365.879931530612,274.650687358454,0.325922153846154,0.0166307378902098,0,rR2(5.5),Ground v=0_X 6.5  7 F2f - Ground v=0_X 5.5  6 F2f
AlH_Plus,Ground,7.5,e,1,Ground,6.5,e,1,91.2858941721576,3.46386984974023E-6,366.304806530612,275.018912358454,0.376621155555555,0.0168468687854052,0,rR1(6.5),Ground v=0_X 7.5  7 F1e - Ground v=0_X 6.5  6 F1e
AlH_Plus,Ground,41.5,f,1,Ground,40.5,f,1,94.4890851168511,3.40182529204278E-6,8806.27171766984,8711.78263255298,2.09296997590361,0.0197766208176972,0,rR2(40.5),Ground v=0_X 41.5 42 F2f - Ground v=0_X 40.5 41 F2f
AlH_Plus,Ground,42.5,e,1,Ground,41.5,e,1,94.5457351168479,3.4029113593432E-6,8808.67934266984,8714.13360755299,2.14341745882353,0.0198178977789435,0,rR1(41.5),Ground v=0_X 42.5 42 F1e - Ground v=0_X 41.5 41 F1e
AlH_Plus,Ground,7.5,f,2,Ground,6.5,f,2,97.8751909724799,2.00894028211737E-6,2062.41470861472,1964.53951764224,0.203723544888889,0.0112321411324316,0,rR2(6.5),Ground v=1_X 7.5  8 F2f - Ground v=1_X 6.5  7 F2f
AlH_Plus,Ground,8.5,e,2,Ground,7.5,e,2,97.9255409724792,1.9951945239156E-6,2062.84268361472,1964.91714264224,0.231114945882353,0.0113440180083899,0,rR1(7.5),Ground v=1_X 8.5  8 F1e - Ground v=1_X 7.5  7 F1e
AlH_Plus,Ground,7.5,f,1,Ground,6.5,f,1,104.046165460057,3.94806206135732E-6,469.926096990669,365.879931530612,0.376621155555555,0.0249451666242152,0,rR2(6.5),Ground v=0_X 7.5  8 F2f - Ground v=0_X 6.5  7 F2f
AlH_Plus,Ground,8.5,e,1,Ground,7.5,e,1,104.102815460057,3.9211659881257E-6,470.407621990669,366.304806530612,0.427259294117647,0.0251959003223693,0,rR1(7.5),Ground v=0_X 8.5  8 F1e - Ground v=0_X 7.5  7 F1e
AlH_Plus,Ground,8.5,f,2,Ground,7.5,f,2,109.79193214528,2.23696759406147E-6,2172.20664076,2062.41470861472,0.231114945882353,0.0159878569189739,0,rR2(7.5),Ground v=1_X 8.5  9 F2f - Ground v=1_X 7.5  8 F2f
AlH_Plus,Ground,9.5,e,2,Ground,8.5,e,2,109.842282145281,2.22490577455441E-6,2172.68496576,2062.84268361472,0.258483821052632,0.0161151908928793,0,rR1(8.5),Ground v=1_X 9.5  9 F1e - Ground v=1_X 8.5  8 F1e
AlH_Plus,Ground,8.5,f,1,Ground,7.5,f,1,116.774847269701,4.39847430983473E-6,586.70094426037,469.926096990669,0.427259294117647,0.0355623441045717,0,rR2(7.5),Ground v=0_X 8.5  9 F2f - Ground v=0_X 7.5  8 F2f
AlH_Plus,Ground,9.5,e,1,Ground,8.5,e,1,116.831497269701,4.37487355438145E-6,587.23911926037,470.407621990669,0.477855789473684,0.0358484288563843,0,rR1(8.5),Ground v=0_X 9.5  9 F1e - Ground v=0_X 8.5  8 F1e
AlH_Plus,Ground,9.5,f,2,Ground,8.5,f,2,121.59274528,2.46291679154645E-6,2293.79938604,2172.20664076,0.258483821052632,0.0218599821856449,0,rR2(8.5),Ground v=1_X 9.5 10 F2f - Ground v=1_X 8.5  9 F2f
AlH_Plus,Ground,10.5,e,2,Ground,9.5,e,2,121.64309528,2.45220362219085E-6,2294.32806104,2172.68496576,0.285836606349206,0.0220029542713054,0,rR1(9.5),Ground v=1_X 10.5 10 F1e - Ground v=1_X 9.5  9 F1e
AlH_Plus,Ground,9.5,f,1,Ground,8.5,f,1,129.40395778986,4.84566205173482E-6,716.10490205023,586.70094426037,0.477855789473684,0.0487116652943216,0,rR2(8.5),Ground v=0_X 9.5 10 F2f - Ground v=0_X 8.5  9 F2f
AlH_Plus,Ground,10.5,e,1,Ground,9.5,e,1,129.46060778986,4.82469868556282E-6,716.69972705023,587.23911926037,0.52842253968254,0.0490337400748801,0,rR1(9.5),Ground v=0_X 10.5 10 F1e - Ground v=0_X 9.5  9 F1e
AlH_Plus,Ground,10.5,f,2,Ground,9.5,f,2,133.26324787552,2.68645432273045E-6,2427.06263391552,2293.79938604,0.285836606349206,0.0289300903247941,0,rR2(9.5),Ground v=1_X 10.5 11 F2f - Ground v=1_X 9.5 10 F2f
AlH_Plus,Ground,11.5,e,2,Ground,10.5,e,2,133.313597875519,2.67684692015934E-6,2427.64165891552,2294.32806104,0.313177499130435,0.0290888197549536,0,rR1(10.5),Ground v=1_X 11.5 11 F1e - Ground v=1_X 10.5 10 F1e
AlH_Plus,Ground,10.5,f,1,Ground,9.5,f,1,141.921932389025,5.28910355311567E-6,858.026834439255,716.10490205023,0.52842253968254,0.0645997211299471,0,rR2(9.5),Ground v=0_X 10.5 11 F2f - Ground v=0_X 9.5 10 F2f
AlH_Plus,Ground,11.5,e,1,Ground,10.5,e,1,141.978582389025,5.27030087577823E-6,858.678309439255,716.69972705023,0.578967304347826,0.0649583143130708,0,rR1(10.5),Ground v=0_X 11.5 11 F1e - Ground v=0_X 10.5 10 F1e
AlH_Plus,Ground,11.5,f,2,Ground,10.5,f,2,144.78858323872,2.90725686871566E-6,2571.85121715424,2427.06263391552,0.313177499130435,0.0372653932196228,0,rR2(10.5),Ground v=1_X 11.5 12 F2f - Ground v=1_X 10.5 11 F2f
AlH_Plus,Ground,12.5,e,2,Ground,11.5,e,2,144.83893323872,2.89857363646817E-6,2572.48059215424,2427.64165891552,0.3405093536,0.0374399356252803,0,rR1(11.5),Ground v=1_X 12.5 12 F1e - Ground v=1_X 11.5 11 F1e
AlH_Plus,Ground,40.5,f,1,Ground,39.5,f,1,152.035298027862,5.47523080538869E-6,8711.78263255298,8559.74733452512,2.0425221399177,0.0823587321302412,0,rR2(39.5),Ground v=0_X 40.5 41 F2f - Ground v=0_X 39.5 40 F2f
AlH_Plus,Ground,41.5,e,1,Ground,40.5,e,1,152.091948027866,5.47566139387861E-6,8714.13360755299,8562.04165952512,2.09296997590361,0.0824756642944475,0,rR1(40.5),Ground v=0_X 41.5 41 F1e - Ground v=0_X 40.5 40 F1e
AlH_Plus,Ground,11.5,f,1,Ground,10.5,f,1,154.316850783236,5.72830225619362E-6,1012.34368522249,858.026834439255,0.578967304347826,0.0834077287527237,0,rR2(10.5),Ground v=0_X 11.5 12 F2f - Ground v=0_X 10.5 11 F2f
AlH_Plus,Ground,12.5,e,1,Ground,11.5,e,1,154.373500783235,5.71130377607527E-6,1013.05181022249,858.678309439255,0.62949536,0.0838032548515175,0,rR1(11.5),Ground v=0_X 12.5 12 F1e - Ground v=0_X 11.5 11 F1e
AlH_Plus,Ground,12.5,f,2,Ground,11.5,f,2,156.15337306528,3.12500265150808E-6,2728.00459021952,2571.85121715424,0.3405093536,0.0469173258201824,0,rR2(11.5),Ground v=1_X 12.5 13 F2f - Ground v=1_X 11.5 12 F2f
AlH_Plus,Ground,13.5,e,2,Ground,12.5,e,2,156.203723065281,3.11710426330878E-6,2728.68431521952,2572.48059215424,0.367834178271605,0.0471076711189404,0,rR1(12.5),Ground v=1_X 13.5 13 F1e - Ground v=1_X 12.5 12 F1e
AlH_Plus,Ground,44.5,e,1,Ground,45.5,e,1,165.270430653729,5.81467497648572E-6,8770.91595908704,8605.64552843331,2.29475802197802,0.10829372839701,0,pP1(45.5),Ground v=0_X 44.5 44 F1e - Ground v=0_X 45.5 45 F1e
AlH_Plus,Ground,43.5,f,1,Ground,44.5,f,1,165.327080653728,5.81521572999993E-6,8768.39503408704,8603.06795343331,2.24431146067416,0.10843160562109,0,pP2(44.5),Ground v=0_X 43.5 44 F2f - Ground v=0_X 44.5 45 F2f
AlH_Plus,Ground,12.5,f,1,Ground,11.5,f,1,166.576263829102,6.16276524004939E-6,1178.91994905159,1012.34368522249,0.62949536,0.1052887521997,0,rR2(11.5),Ground v=0_X 12.5 13 F2f - Ground v=0_X 11.5 12 F2f
AlH_Plus,Ground,13.5,e,1,Ground,12.5,e,1,166.632913829102,6.14729739394519E-6,1179.68472405159,1013.05181022249,0.680010419753086,0.105721506888108,0,rR1(12.5),Ground v=0_X 13.5 13 F1e - Ground v=0_X 12.5 12 F1e
AlH_Plus,Ground,13.5,f,2,Ground,12.5,f,2,167.34167002048,3.33936619956269E-6,2895.34626024,2728.00459021952,0.367834178271605,0.0579201646793688,0,rR2(12.5),Ground v=1_X 13.5 14 F2f - Ground v=1_X 12.5 13 F2f
AlH_Plus,Ground,14.5,e,2,Ground,13.5,e,2,167.39202002048,3.33214343815854E-6,2896.07633524,2728.68431521952,0.395153427586207,0.0581262348243323,0,rR1(13.5),Ground v=1_X 14.5 14 F1e - Ground v=1_X 13.5 13 F1e
AlH_Plus,Ground,14.5,f,2,Ground,13.5,f,2,178.33691032,3.55001490173517E-6,3073.68317056,2895.34626024,0.395153427586207,0.0702896945273278,0,rR2(13.5),Ground v=1_X 14.5 15 F2f - Ground v=1_X 13.5 14 F2f
AlH_Plus,Ground,15.5,e,2,Ground,14.5,e,2,178.38726032,3.5433805841449E-6,3074.46359556,2896.07633524,0.422468180645161,0.0705113412087233,0,rR1(14.5),Ground v=1_X 15.5 15 F1e - Ground v=1_X 14.5 14 F1e
AlH_Plus,Ground,13.5,f,1,Ground,12.5,f,1,178.686955027138,6.59198610723981E-6,1357.60690407873,1178.91994905159,0.680010419753086,0.130364553974152,0,rR2(12.5),Ground v=0_X 13.5 14 F2f - Ground v=0_X 12.5 13 F2f
AlH_Plus,Ground,14.5,e,1,Ground,13.5,e,1,178.743605027138,6.57783443036748E-6,1358.42832907873,1179.68472405159,0.730515172413793,0.13083470718955,0,rR1(13.5),Ground v=0_X 14.5 14 F1e - Ground v=0_X 13.5 13 F1e
AlH_Plus,Ground,15.5,f,2,Ground,14.5,f,2,189.12186631072,3.75660654197245E-6,3262.80503687072,3073.68317056,0.422468180645161,0.0840219397532024,0,rR2(14.5),Ground v=1_X 15.5 16 F2f - Ground v=1_X 14.5 15 F2f
AlH_Plus,Ground,16.5,e,2,Ground,15.5,e,2,189.17221631072,3.75048998574125E-6,3263.63581187072,3074.46359556,0.449779254949495,0.0842589421173645,0,rR1(15.5),Ground v=1_X 16.5 16 F1e - Ground v=1_X 15.5 15 F1e
AlH_Plus,Ground,14.5,f,1,Ground,13.5,f,1,190.63461899839,7.01542838568805E-6,1548.24152307712,1357.60690407873,0.730515172413793,0.158721858687479,0,rR2(13.5),Ground v=0_X 14.5 15 F2f - Ground v=0_X 13.5 14 F2f
AlH_Plus,Ground,15.5,e,1,Ground,14.5,e,1,190.69126899839,7.00242170171783E-6,1549.11959807712,1358.42832907873,0.781011612903226,0.159229445344335,0,rR1(14.5),Ground v=0_X 15.5 15 F1e - Ground v=0_X 14.5 14 F1e
AlH_Plus,Ground,39.5,f,1,Ground,38.5,f,1,198.503335016641,7.15088627799118E-6,8559.74733452512,8361.24399950848,1.99207392405063,0.183249302043147,0,rR2(38.5),Ground v=0_X 39.5 40 F2f - Ground v=0_X 38.5 39 F2f
AlH_Plus,Ground,40.5,e,1,Ground,39.5,e,1,198.55998501664,7.1507193446708E-6,8562.04165952512,8363.48167450848,2.0425221399177,0.183464295297308,0,rR1(39.5),Ground v=0_X 40.5 40 F1e - Ground v=0_X 39.5 39 F1e
AlH_Plus,Ground,16.5,f,2,Ground,15.5,f,2,199.67859905152,3.95878739867112E-6,3462.48363592224,3262.80503687072,0.449779254949495,0.0990919806543946,0,rR2(15.5),Ground v=1_X 16.5 17 F2f - Ground v=1_X 15.5 16 F2f
AlH_Plus,Ground,17.5,e,2,Ground,16.5,e,2,199.72894905152,3.95313052566224E-6,3463.36476092224,3263.63581187072,0.477087281142857,0.0993440430921859,0,rR1(16.5),Ground v=1_X 17.5 17 F1e - Ground v=1_X 16.5 16 F1e
AlH_Plus,Ground,15.5,f,1,Ground,14.5,f,1,202.403436118682,7.43250711489933E-6,1750.6449591958,1548.24152307712,0.781011612903226,0.190407740255483,0,rR2(14.5),Ground v=0_X 15.5 16 F2f - Ground v=0_X 14.5 15 F2f
AlH_Plus,Ground,16.5,e,1,Ground,15.5,e,1,202.460086118682,7.42050671578927E-6,1751.5796841958,1549.11959807712,0.831501252525252,0.190952647882568,0,rR1(15.5),Ground v=0_X 16.5 16 F1e - Ground v=0_X 15.5 15 F1e
AlH_Plus,Ground,17.5,f,2,Ground,16.5,f,2,209.98841089408,4.1561906828367E-6,3672.47204681632,3462.48363592224,0.477087281142857,0.11545287747301,0,rR2(16.5),Ground v=1_X 17.5 18 F2f - Ground v=1_X 16.5 17 F2f
