Gnd/Ext,Name,J,N,Fnp
Ground,v=0_X,23.5,23,F1e
Ground,v=1_X,17.5,18,F2f
Ground,v=1_X,18.5,18,F1e
Ground,v=0_X,23.5,24,F2f
Ground,v=0_X,24.5,24,F1e
Ground,v=1_X,18.5,19,F2f
Ground,v=1_X,19.5,19,F1e
Ground,v=0_X,24.5,25,F2f
Ground,v=0_X,25.5,25,F1e
Ground,v=1_X,19.5,20,F2f
Ground,v=1_X,20.5,20,F1e
Ground,v=1_X,20.5,21,F2f
Ground,v=1_X,21.5,21,F1e
Ground,v=0_X,25.5,26,F2f
Ground,v=0_X,26.5,26,F1e
Ground,v=1_X,21.5,22,F2f
Ground,v=1_X,22.5,22,F1e
Ground,v=0_X,26.5,27,F2f
Ground,v=0_X,27.5,27,F1e
Ground,v=1_X,22.5,23,F2f
Ground,v=1_X,23.5,23,F1e
Ground,v=0_X,27.5,28,F2f
Ground,v=0_X,28.5,28,F1e
Ground,v=1_X,23.5,24,F2f
Ground,v=1_X,24.5,24,F1e
Ground,v=0_X,28.5,29,F2f
Ground,v=0_X,29.5,29,F1e
Ground,v=0_X,49.5,50,F2f
Ground,v=1_X,24.5,25,F2f
Ground,v=1_X,25.5,25,F1e
Ground,v=0_X,29.5,30,F2f
Ground,v=0_X,30.5,30,F1e
Ground,v=1_X,25.5,26,F2f
Ground,v=1_X,26.5,26,F1e
Ground,v=0_X,30.5,31,F2f
Ground,v=0_X,31.5,31,F1e
Ground,v=1_X,26.5,27,F2f
Ground,v=1_X,27.5,27,F1e
Ground,v=1_X,27.5,28,F2f
Ground,v=1_X,28.5,28,F1e
Ground,v=0_X,31.5,32,F2f
Ground,v=0_X,32.5,32,F1e
Ground,v=0_X,48.5,49,F2f
Ground,v=0_X,49.5,49,F1e
Ground,v=1_X,28.5,29,F2f
Ground,v=1_X,29.5,29,F1e
Ground,v=0_X,32.5,33,F2f
Ground,v=0_X,33.5,33,F1e
Ground,v=1_X,29.5,30,F2f
Ground,v=1_X,30.5,30,F1e
Ground,v=0_X,33.5,34,F2f
Ground,v=0_X,34.5,34,F1e
Ground,v=1_X,30.5,31,F2f
Ground,v=1_X,31.5,31,F1e
Ground,v=0_X,47.5,48,F2f
Ground,v=0_X,48.5,48,F1e
Ground,v=0_X,34.5,35,F2f
Ground,v=0_X,35.5,35,F1e
Ground,v=1_X,31.5,32,F2f
Ground,v=1_X,32.5,32,F1e
Ground,v=0_X,35.5,36,F2f
Ground,v=0_X,36.5,36,F1e
Ground,v=1_X,32.5,33,F2f
Ground,v=1_X,33.5,33,F1e
Ground,v=0_X,36.5,37,F2f
Ground,v=0_X,37.5,37,F1e
Ground,v=0_X,46.5,47,F2f
Ground,v=0_X,47.5,47,F1e
Ground,v=0_X,37.5,38,F2f
Ground,v=0_X,38.5,38,F1e
Ground,v=1_X,33.5,34,F2f
Ground,v=1_X,34.5,34,F1e
Ground,v=0_X,45.5,46,F2f
Ground,v=0_X,46.5,46,F1e
Ground,v=0_X,38.5,39,F2f
Ground,v=0_X,39.5,39,F1e
Ground,v=1_X,34.5,35,F2f
Ground,v=1_X,35.5,35,F1e
Ground,v=0_X,39.5,40,F2f
Ground,v=0_X,40.5,40,F1e
Ground,v=0_X,44.5,45,F2f
Ground,v=0_X,45.5,45,F1e
